"","tracks","track_id","track_pop","artist","artist_full","artist_id","album","album_id","playlist_index","artist_name","artist_pop","artist_followers","genres"
"1","File Select (From ""Super Mario 64"") [Lo-fi Edit]","12oeXDFhXiPi7ED0Hv7NQu",42,"Besso0","Besso0 feat. GonZealous","1Bk5QRKPcjeDSZS6M75Q8z","File Select (From ""Super Mario 64"") [Lo-fi Edit]","1MvnxRQ7IxVqY9Ngye2u8f",1,"Besso0",39,1388,"lo-fi vgm"
"2","She Hit Me Up!","4E4AciPFXsLKJf3EQNMMn9",23,"Lo'fi Boy","Lo'fi Boy","30zqizQHom62N4hV28E1Hz","She Hit Me Up!","6cnSiD60secxctlgtzIk6C",1,"Lo'fi Boy",54,27339,"lo-fi beats"
"3","Circles","6AVO0Jk6IT9YXUhhHpSGcR",44,"instant era","instant era","0KJnonezjjjoFQZu8ZtR2k","Circles","5dt6iMHnedZ5ajIhpGZEhs",1,"instant era",46,223,""
"4","gso","3d6jkTM25qLsneJ4N25oYY",36,"coldbrew","coldbrew","7r3gH36F9O5GtmYPYymtLK","Turbulence Ep","75obHD8DPX6iME05QVj782",1,"coldbrew",55,3511,""
"5","Dream Girl","3aiqgRAbtibEmjMvpZgb4Q",36,"Strehlow","Strehlow","1pUWzVmu8ACMnIAu9BsOHm","Sleep in, Love","61tjotA7tRYb6wW3A03XJD",1,"Strehlow",59,4033,"chillhop;lo-fi beats"
"6","Cry Me A River","4z5tPOBoKRIgCRVJMPPnoH",37,"Ray Brown Trio","Ray Brown Trio","3kcjzDWaSVR3VqgEIBZIdo","Soular Energy","35X3ykw0Ysj1Epv9Vx8uo8",2,"Ray Brown Trio",33,5111,"jazz trio"
"7","Moonlight Serenade","2hq5r9Drp3mVlMBn0LZnwp",34,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Vintage Jazz: Instrumental Jazz for Entertaining","37LanF3gGteJhy8HlorAHk",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"8","When Sunny Gets Blue","1J9iVCaEriyoMXpj2XszhU",62,"McCoy Tyner","McCoy Tyner","2EsmKkHsXK0WMNGOtIhbxr","Today And Tomorrow","6MinQE3GG7Xb9GWrOoAWEz",2,"McCoy Tyner",53,85243,"avant-garde jazz;bebop;contemporary jazz;contemporary post-bop;cool jazz;free jazz;hard bop;jazz;jazz funk;jazz fusion;jazz piano;soul jazz;stride"
"9","A Kiss to Build a Dream On","3t69oUT5jXy1q5QWLjSL3L",35,"Beegie Adair","Beegie Adair","5gYIhpLwCYoxh3V8KANZpI","Vintage Jazz: Instrumental Jazz for Entertaining","37LanF3gGteJhy8HlorAHk",2,"Beegie Adair",64,30922,"adult standards;christmas instrumental;dinner jazz;lounge"
"10","Why Was I Born?","0bsjX3Fepz788QVOONkGTP",22,"Red Garland","Red Garland","35iymrFS4VnsKn35ebHKX9","Lush Life","2Nrj3MUPEHQJ72C4eO48vW",2,"Red Garland",52,32783,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride;vocal jazz"
"11","Trouble In Mind","1Q3nwehHU6712WVfvpWVpz",31,"Red Garland","Red Garland","35iymrFS4VnsKn35ebHKX9","Red In Bluesville","275AqoGJKv5Mu2quadBUTM",2,"Red Garland",52,32783,"bebop;contemporary post-bop;cool jazz;hard bop;jazz;jazz piano;soul jazz;stride;vocal jazz"
